Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
group_5516,,carbamoyl-phosphate synthase (ammonia);hypothetical protein;Carbamoyl phosphate synthase arginine-specific large chain,JLGHJK_00984;JLGHJK_00985;JLGHJK_00983;JLGHJK_00987;JLGHJK_00986,IGABOM_00346,
ydaM,;ydaM,hypothetical protein;Glycosyltransferase YdaM,JLGHJK_01168;JLGHJK_01169,IGABOM_00643,
group_5515,,hypothetical protein;Homoserine kinase,JLGHJK_01045;JLGHJK_01044,IGABOM_00400,
group_5514,,Elongation factor 4;hypothetical protein,JLGHJK_02380;JLGHJK_02378;JLGHJK_02379,IGABOM_01683,
group_5513,,hypothetical protein;DUF368 domain-containing protein,JLGHJK_02195;JLGHJK_02194,IGABOM_01519,
group_5512,,hypothetical protein,JLGHJK_01258,IGABOM_00710,
group_5511,,hypothetical protein;DNA repair protein,JLGHJK_02779;JLGHJK_02778,IGABOM_01966,
group_5510,,hypothetical protein;Putative ribose-phosphate pyrophosphokinase 2,JLGHJK_02602;JLGHJK_02603,IGABOM_01812,
group_5509,,hypothetical protein;Amidophosphoribosyltransferase,JLGHJK_03156;JLGHJK_03155,IGABOM_02307,
group_5508,,hypothetical protein;DUF475 domain-containing protein,JLGHJK_03017;JLGHJK_03016,IGABOM_02180,
group_5507,,hypothetical protein;Homocysteine S-methyltransferase,JLGHJK_01687;JLGHJK_01688,IGABOM_01089,
group_5506,,Transport permease protein,JLGHJK_02294,IGABOM_01597,
group_5505,,hypothetical protein,JLGHJK_01594;JLGHJK_01595,IGABOM_00994,
group_5504,,Major facilitator superfamily (MFS) profile domain-containing protein;hypothetical protein;Major facilitator superfamily permease,JLGHJK_00361;JLGHJK_00360,IGABOM_02852,
group_5503,,hypothetical protein;Aminoglycoside phosphotransferase domain-containing protein,JLGHJK_01837,IGABOM_01228;IGABOM_01229,
group_5502,,AAA+ ATPase domain-containing protein,JLGHJK_01900,IGABOM_01258,
group_5501,;mutS,hypothetical protein;DNA mismatch repair protein MutS,JLGHJK_02757;JLGHJK_02758,IGABOM_01948,
group_5500,,hypothetical protein;Transport protein major facilitator family (MFS) C-terminal domain,JLGHJK_01259,IGABOM_00711,
group_5499,,HTH lysR-type domain-containing protein,JLGHJK_00137,IGABOM_02568,
group_5498,;mreB,hypothetical protein;Rod shape-determining protein;Cell shape-determining protein MreB,JLGHJK_02776;JLGHJK_02777,IGABOM_01965,
group_5497,,hypothetical protein;tetrahydrofolate synthase,JLGHJK_02781;JLGHJK_02780,IGABOM_01967,
group_5496,,hypothetical protein,JLGHJK_01824,IGABOM_01217,
group_5495,,hypothetical protein;Protein co-occurring with transport system,JLGHJK_01136,IGABOM_00615,
group_5494,,hypothetical protein,JLGHJK_01826,IGABOM_01218,
group_5493,,hypothetical protein;Beta-Ala-Xaa dipeptidase,JLGHJK_01708;JLGHJK_01709,IGABOM_01106,
group_5492,,hypothetical protein;Phosphate/phosphite/phosphonate ABC transporter substrate-binding protein,JLGHJK_01120;JLGHJK_01118;JLGHJK_01119,IGABOM_00602,
group_5491,,Transport protein,JLGHJK_02156,IGABOM_01483,
group_5490,,hypothetical protein;Cellulose synthase (UDP-forming),JLGHJK_01170;JLGHJK_01171;JLGHJK_01172,IGABOM_00644,
ubiD,ubiD;,UbiD family decarboxylase;hypothetical protein;3-polyprenyl-4-hydroxybenzoate carboxy-lyase,JLGHJK_00057;JLGHJK_00056,IGABOM_02502,
ybeY,;ybeY,hypothetical protein;Endoribonuclease YbeY,JLGHJK_02352;JLGHJK_02353,IGABOM_01660,
group_5489,,hypothetical protein;Diaminopimelate decarboxylase,JLGHJK_02096;JLGHJK_02098;JLGHJK_02097,IGABOM_01436,
group_5488,,hypothetical protein;HTH cro/C1-type domain-containing protein,JLGHJK_01380;JLGHJK_01379;JLGHJK_01381,IGABOM_00813,
group_5487,,hypothetical protein;FAD synthase,JLGHJK_01276;JLGHJK_01277,IGABOM_00728,
group_5486,,hypothetical protein;Iron ABC transporter substrate binding protein,JLGHJK_02130;JLGHJK_02131;JLGHJK_02132,IGABOM_01465,
group_5485,;comE,hypothetical protein;ComE operon protein 3 DNA transport protein,JLGHJK_02569;JLGHJK_02567;JLGHJK_02568,IGABOM_01784,
group_5484,,14-dihydroxy-2-naphthoate octaprenyltransferase;14-dihydroxy-2-naphthoate prenyltransferase,JLGHJK_01925,IGABOM_01280,
group_5483,,Glycosyl hydrolase,JLGHJK_03242,IGABOM_02387,
group_5482,;eamA,hypothetical protein;EamA family transporter,JLGHJK_02974;JLGHJK_02975,IGABOM_02150,
group_5481,,hypothetical protein;ABC transporter ATP-binding protein,JLGHJK_00150;JLGHJK_00148;JLGHJK_00149,IGABOM_02581,
group_5480,,hypothetical protein;Cell surface protein LPXTG-motif cell wall anchor,JLGHJK_00885,IGABOM_00238,
group_5479,,hypothetical protein;Ribulose-phosphate 3-epimerase,JLGHJK_01998;JLGHJK_01999,IGABOM_01351,
group_5478,,Homoserine dehydrogenase;hypothetical protein,JLGHJK_01043;JLGHJK_01042,IGABOM_00399,
group_5477,,hypothetical protein;Permease IIC component,JLGHJK_01580;JLGHJK_01578;JLGHJK_01579,IGABOM_00980,
group_5476,,hypothetical protein;ABC transporter ATP-binding protein,JLGHJK_02296;JLGHJK_02295,IGABOM_01598,
group_5475,,hypothetical protein;Thiamine diphosphokinase,JLGHJK_02000;JLGHJK_02001,IGABOM_01352,
group_5474,,hypothetical protein;tRNA-dihydrouridine synthase,JLGHJK_00050;JLGHJK_00051,IGABOM_02497,
group_5473,,histidine kinase,JLGHJK_00581,IGABOM_03101,
group_5472,,hypothetical protein;Glycerol phosphate lipoteichoic acid synthase 1,JLGHJK_01658;JLGHJK_01659,IGABOM_01063,
group_5471,,hypothetical protein;Ribonuclease 3,JLGHJK_02009;JLGHJK_02010,IGABOM_01359,
group_5470,,hypothetical protein;Tetratricopeptide repeat protein,JLGHJK_02261;JLGHJK_02262,IGABOM_01571,
group_5469,,UvrABC system protein A;hypothetical protein,JLGHJK_01741;JLGHJK_01742,IGABOM_01135,
group_5468,,hypothetical protein;DUF1003 domain-containing protein,JLGHJK_02193;JLGHJK_02192,IGABOM_01518,
group_5467,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_02516;JLGHJK_02515,IGABOM_01744,
group_5466,,hypothetical protein;Aspartate racemase,JLGHJK_01904;JLGHJK_01903,IGABOM_01262,
group_5465,,hypothetical protein;Zinc-type alcohol dehydrogenase-like protein,JLGHJK_01901,IGABOM_01260;IGABOM_01259,
group_5464,,hypothetical protein;Bacterial type II secretion/trafficking system protein F,JLGHJK_02712;JLGHJK_02713,IGABOM_01910,
mutL,;mutL,hypothetical protein;DNA mismatch repair protein MutL,JLGHJK_02755;JLGHJK_02756,IGABOM_01947,
group_5463,,hypothetical protein;FAD:protein FMN transferase,JLGHJK_00049;JLGHJK_00048,IGABOM_02496,
group_5462,,Glycerol kinase,JLGHJK_01260,IGABOM_00712,
group_5461,,hypothetical protein;ImpB/MucB/SamB family protein,JLGHJK_00136;JLGHJK_00135,IGABOM_02567,
group_5460,,DNA-3-methyladenine glycosylase I,JLGHJK_00132,IGABOM_02564,
group_5459,marR,MarR family transcriptional regulator,JLGHJK_01312,IGABOM_00759,
group_5458,,PhoH-like protein;hypothetical protein,JLGHJK_02354;JLGHJK_02355,IGABOM_01661,
group_5457,,hypothetical protein;Ig-like domain-containing protein,JLGHJK_03225;JLGHJK_03224,IGABOM_02371,
group_5456,,Oxidoreductase,JLGHJK_03221,IGABOM_02368,
group_5455,,hypothetical protein;putative succinyl-diaminopimelate desuccinylase,JLGHJK_02311;JLGHJK_02312,IGABOM_01610,
group_5454,,hypothetical protein;NADP-dependent oxidoreductase domain-containing protein,JLGHJK_00662;JLGHJK_00661,IGABOM_03182,
group_5453,,hypothetical protein;Glycosyl transferase family protein,JLGHJK_01906;JLGHJK_01905,IGABOM_01263,
group_5452,,hypothetical protein;NADH:ubiquinone reductase (non-electrogenic),JLGHJK_01486;JLGHJK_01485,IGABOM_00908,
group_5451,,hypothetical protein;Iron ABC transporter permease protein,JLGHJK_02129,IGABOM_01464;IGABOM_01463,
group_5450,,hypothetical protein;DUF2252 domain-containing protein,JLGHJK_00753;JLGHJK_00752,IGABOM_00123,
group_5449,,hypothetical protein;HAD superfamily hydrolase,JLGHJK_01217;JLGHJK_01218,IGABOM_00687,
group_5448,,hypothetical protein;Amino acid permease,JLGHJK_01548;JLGHJK_01547,IGABOM_00954,
group_5447,,hypothetical protein;Pseudouridine synthase,JLGHJK_02273;JLGHJK_02274,IGABOM_01580,
group_5446,,hypothetical protein;Integral membrane protein,JLGHJK_02753;JLGHJK_02752,IGABOM_01945,
group_5445,,hypothetical protein;MFS transporter,JLGHJK_01782,IGABOM_01168;IGABOM_01169,
group_5444,,hypothetical protein;NADH peroxidase,JLGHJK_01823;JLGHJK_01822,IGABOM_01216,
group_5443,,Serine hydroxymethyltransferase;hypothetical protein,JLGHJK_02837;JLGHJK_02838,IGABOM_02018,
group_5442,;degV,hypothetical protein;DegV family protein,JLGHJK_02251;JLGHJK_02252,IGABOM_01563,
group_5441,,hypothetical protein;Acid sugar phosphatase,JLGHJK_02700;JLGHJK_02701,IGABOM_01898,
group_5440,,hypothetical protein;Glycosyltransferase family 1 (GT1),JLGHJK_02539;JLGHJK_02538,IGABOM_01761,
group_5439,,hypothetical protein;PTS system beta-glucoside-specific IIABC component,JLGHJK_00242;JLGHJK_00241,IGABOM_02748,
recD2,recD2;,ATP-dependent RecD2 DNA helicase;hypothetical protein,JLGHJK_02604;JLGHJK_02605,IGABOM_01813,
group_5438,,hypothetical protein;Late competence protein ATP-dependent DNA helicase/translocase,JLGHJK_01138;JLGHJK_01137,IGABOM_00616,
group_5437,,hypothetical protein;Peptidase metallopeptidase domain-containing protein,JLGHJK_01065;JLGHJK_01066,IGABOM_00477,
purL,;purL,hypothetical protein;Phosphoribosylformylglycinamidine synthase II;Phosphoribosylformylglycinamidine synthase subunit PurL,JLGHJK_03158;JLGHJK_03157,IGABOM_02308,
group_5436,,hypothetical protein;Maltose O-acetyltransferase,JLGHJK_03018;JLGHJK_03019,IGABOM_02181,
group_5435,cscD,Cell surface protein CscD familyLPXTG-motif cell wall anchor,JLGHJK_01827,IGABOM_01219,
group_5434,,hypothetical protein;Tyrosine-protein phosphatase,JLGHJK_02542;JLGHJK_02543,IGABOM_01764,
group_5433,,hypothetical protein;Dihydroorotate dehydrogenase,JLGHJK_03132;JLGHJK_03133,IGABOM_02289,
group_5432,,hypothetical protein;Poly(Glycerol-phosphate) alpha-glucosyltransferase,JLGHJK_01689;JLGHJK_01690,IGABOM_01090,
group_5431,,hypothetical protein;Alphaalpha-phosphotrehalase,JLGHJK_00774;JLGHJK_00773,IGABOM_00133,
group_5430,,ABC transporter permease subunit;ABC transmembrane type-1 domain-containing protein;hypothetical protein,JLGHJK_01214,IGABOM_00684;IGABOM_00683,
group_5429,,hypothetical protein;ABC transporter permease protein,JLGHJK_02337;JLGHJK_02338,IGABOM_01648,
steT,;steT,hypothetical protein;Putative serine/threonine exchanger SteT,JLGHJK_01310;JLGHJK_01311,IGABOM_00758,
group_5428,,hypothetical protein;Integral membrane protein,JLGHJK_01402;JLGHJK_01401,IGABOM_00829,
group_5427,,Malate/L-lactate/L-2-hydroxyisocapronate dehydrogenase,JLGHJK_02588,IGABOM_01798,
group_5426,,ABC transporter ATP-binding protein,JLGHJK_02157,IGABOM_01484,
group_5425,,hypothetical protein;Enoyl reductase (ER) domain-containing protein,JLGHJK_02038;JLGHJK_02039,IGABOM_01385,
group_5424,;eamA,hypothetical protein;Transport protein EamA family,JLGHJK_01729;JLGHJK_01728,IGABOM_01123,
group_5423,,Ankyrin repeat domain-containing protein;hypothetical protein,JLGHJK_00934,IGABOM_00309,
group_5422,,hypothetical protein;Glycosyltransferase RgtA/B/C/D-like domain-containing protein,JLGHJK_02220;JLGHJK_02221,IGABOM_01534,
yycH,;yycH,hypothetical protein;Regulatory protein YycH domain-containing protein,JLGHJK_00582,IGABOM_03102;IGABOM_03103,
group_5421,,hypothetical protein;Threonylcarbamoyl-AMP synthase,JLGHJK_02839;JLGHJK_02840,IGABOM_02019,
group_5420,,hypothetical protein;MucBP domain-containing protein,JLGHJK_01636;JLGHJK_01635,IGABOM_01042,
group_5419,;lysR,hypothetical protein;Malolactic regulator LysR family,JLGHJK_01539;JLGHJK_01540,IGABOM_00951,
group_5418,,NAD(P)-binding domain-containing protein,JLGHJK_02320,IGABOM_01631,
group_5417,,hypothetical protein;ABC transporter permease protein,JLGHJK_02340;JLGHJK_02339,IGABOM_01649,
yhfK,;yhfK,hypothetical protein;Sugar epimerase YhfK,JLGHJK_03123;JLGHJK_03124,IGABOM_02281,
group_5416,;lacI,hypothetical protein;Catabolite control protein B / transcription regulator LacI family,JLGHJK_03055;JLGHJK_03054,IGABOM_02218,
recO,;recO,hypothetical protein;DNA repair protein RecO,JLGHJK_02349;JLGHJK_02348,IGABOM_01657,
group_5415,,hypothetical protein;Bacterial type II secretion/trafficking system protein E ATPase,JLGHJK_02715;JLGHJK_02714,IGABOM_01911,
group_5414,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_00302;JLGHJK_00303,IGABOM_02801,
group_5413,,hypothetical protein;Pyruvate oxidase,JLGHJK_01278;JLGHJK_01279,IGABOM_00729,
group_5412,,hypothetical protein;Cadmium-/manganese-transporting P-type ATPase,JLGHJK_02305;JLGHJK_02304,IGABOM_01606,
group_5411,,hypothetical protein;Xylose isomerase-like TIM barrel domain-containing protein,JLGHJK_02720;JLGHJK_02719,IGABOM_01915,
group_5410,,hypothetical protein;SAM-dependent methyltransferase,JLGHJK_02291;JLGHJK_02290,IGABOM_01595,
group_5409,,hypothetical protein,JLGHJK_00795,IGABOM_00153,
group_5408,,hypothetical protein;Riboflavin transporter,JLGHJK_02272;JLGHJK_02271,IGABOM_01579,
group_5407,,Inosine-5'-monophosphate dehydrogenase,JLGHJK_00093,IGABOM_02528,
group_5406,,carbamoyl-phosphate synthase (ammonia);Carbamoyl phosphate synthase pyrimidine-specific large chain,JLGHJK_03135;JLGHJK_03134,IGABOM_02290,
group_5405,,hypothetical protein;Serine hydrolase domain-containing protein,JLGHJK_01600;JLGHJK_01601,IGABOM_00996,
group_5404,,hypothetical protein;Transport protein,JLGHJK_02406;JLGHJK_02407,IGABOM_01702,
group_5403,,hypothetical protein;histidine kinase,JLGHJK_02968;JLGHJK_02969,IGABOM_02146,
group_5402,,hypothetical protein;Nuclease SbcCD subunit C,JLGHJK_01926,IGABOM_01281;IGABOM_01282,
tssH~~~clpB,;tssH;clpB,hypothetical protein;Type VI secretion system ATPase TssH;Chaperone protein ClpB,JLGHJK_02286;JLGHJK_02287,IGABOM_01592,
group_5401,,hypothetical protein;Extracellular protein,JLGHJK_03241;JLGHJK_03240,IGABOM_02386,
group_5400,,Lactate racemization operon protein;Pyridinium-35-bisthiocarboxylic acid mononucleotide nickel insertion protein,JLGHJK_00634;JLGHJK_00633,IGABOM_03156,
group_5399,,hypothetical protein;UDP-N-acetylglucosamine 1-carboxyvinyltransferase;UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2,JLGHJK_00960;JLGHJK_00961,IGABOM_00329,
group_5398,,hypothetical protein;Pyruvate oxidase,JLGHJK_01274;JLGHJK_01275,IGABOM_00727,
group_5397,,Ferrous iron transport protein B;hypothetical protein,JLGHJK_01844,IGABOM_01236,
group_5396,,Dihydrolipoyl dehydrogenase;hypothetical protein,JLGHJK_02589;JLGHJK_02590,IGABOM_01799,
group_5395,,hypothetical protein;DNA-binding response regulator,JLGHJK_02971;JLGHJK_02970,IGABOM_02147,
ascB,;ascB,6-phospho-beta-glucosidase;hypothetical protein;6-phospho-beta-glucosidase AscB,JLGHJK_01780;JLGHJK_01781,IGABOM_01167,
group_5394,,hypothetical protein;dUTP diphosphatase,JLGHJK_01072;JLGHJK_01073,IGABOM_00481,
group_5393,,Fumarate reductase flavoprotein subunit;hypothetical protein,JLGHJK_01534;JLGHJK_01535,IGABOM_00948,
group_5392,,hypothetical protein;Enoyl reductase (ER) domain-containing protein,JLGHJK_02324;JLGHJK_02323,IGABOM_01634,
group_5391,,hypothetical protein,JLGHJK_01394;JLGHJK_01393,IGABOM_00822,
group_5390,,hypothetical protein;Citrate lyase regulator,JLGHJK_01524;JLGHJK_01523,IGABOM_00936,
group_5389,,Integral membrane protein,JLGHJK_00855,IGABOM_00213,
group_5388,,hypothetical protein;Aminotransferase,JLGHJK_01787;JLGHJK_01788,IGABOM_01174,
group_5387,,hypothetical protein;Isoleucine 2-epimerase,JLGHJK_02104;JLGHJK_02105,IGABOM_01441,
group_5386,,hypothetical protein;Chromosome partition protein Smc,JLGHJK_02012;JLGHJK_02011,IGABOM_01360,
group_5385,,hypothetical protein;Putative metallophosphoesterase,JLGHJK_02759;JLGHJK_02760,IGABOM_01949,
group_5384,,hypothetical protein;D-3-phosphoglycerate dehydrogenase,JLGHJK_00714;JLGHJK_00713,IGABOM_00086,
group_5383,,hypothetical protein;Band 7 domain-containing protein,JLGHJK_02069;JLGHJK_02068,IGABOM_01413,
group_5382,,hypothetical protein;LD-TPase catalytic domain-containing protein,JLGHJK_01556;JLGHJK_01557,IGABOM_00962,
group_5381,,HAD superfamily hydrolase,JLGHJK_01251,IGABOM_00704,
group_5380,,hypothetical protein;Glycerol uptake facilitator protein,JLGHJK_00883;JLGHJK_00884,IGABOM_00237,
group_5379,,hypothetical protein,JLGHJK_00739,IGABOM_00111,
group_5378,,hypothetical protein,JLGHJK_00443,IGABOM_02919,
group_5377,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_00455;JLGHJK_00454,IGABOM_02922,
group_5376,,alpha-galactosidase;hypothetical protein;Alpha-galactosidase,JLGHJK_00470;JLGHJK_00471,IGABOM_02934,
group_5375,,hypothetical protein;Malate dehydrogenase,JLGHJK_01501;JLGHJK_01500,IGABOM_00919,
group_5374,,hypothetical protein;Glycine--tRNA ligase alpha subunit,JLGHJK_02347;JLGHJK_02346,IGABOM_01656,
group_5373,,hypothetical protein;HAD-IC family P-type ATPase;P-type Ca(2+) transporter,JLGHJK_01038;JLGHJK_01037,IGABOM_00395,
group_5372,,hypothetical protein;DUF4767 domain-containing protein,JLGHJK_02110;JLGHJK_02109,IGABOM_01445,
group_5371,,hypothetical protein;L-glyceraldehyde 3-phosphate reductase;Putative ion-channel protein,JLGHJK_00476;JLGHJK_00475,IGABOM_02938,
group_5370,,hypothetical protein;Glycosyltransferase,JLGHJK_03093;JLGHJK_03092,IGABOM_02255,
group_5369,,hypothetical protein;Mevalonate kinase,JLGHJK_02118;JLGHJK_02117,IGABOM_01452,
group_5368,,Mobile element protein;Transposase IS30-like HTH domain-containing protein,JLGHJK_01488,,PHDJFC_00227
group_5367,,hypothetical protein,JLGHJK_03431,IGABOM_02971,
group_5366,,Maltodextrin glucosidase,JLGHJK_00570,IGABOM_03091,
group_5365,,hypothetical protein;Serine-type D-Ala-D-Ala carboxypeptidase,JLGHJK_02391;JLGHJK_02390,IGABOM_01689,
group_5364,,hypothetical protein;D-alanine--D-alanyl carrier protein ligase,JLGHJK_02388;JLGHJK_02387,IGABOM_01687,
group_5363,,hypothetical protein;Anthranilate synthase component 1,JLGHJK_02029;JLGHJK_02028,IGABOM_01377,
group_5362,,hypothetical protein;Permease IIC component,JLGHJK_00902;JLGHJK_00903,IGABOM_00283,
group_5361,;secB,hypothetical protein;Preprotein translocase subunit SecB,JLGHJK_01593,IGABOM_00993,
group_5360,,hypothetical protein;putative dipeptidase,JLGHJK_00844;JLGHJK_00843,IGABOM_00200,
group_5359,,hypothetical protein;Pyridoxamine 5'-phosphate oxidase family protein,JLGHJK_00575;JLGHJK_00576,IGABOM_03096,
group_5358,,hypothetical protein;Methyltransferase,JLGHJK_02512;JLGHJK_02513,IGABOM_01742,
group_5357,,hypothetical protein;Ribonuclease J,JLGHJK_02597;JLGHJK_02598,IGABOM_01806,
group_5356,,Ig-like domain-containing protein,JLGHJK_03226,IGABOM_02372,
group_5355,,hypothetical protein;rRNA large subunit methyltransferase A,JLGHJK_02651;JLGHJK_02652,IGABOM_01851,
group_5354,;brnQ,hypothetical protein;Branched-chain amino acid permease BrnQ,JLGHJK_02648;JLGHJK_02649,IGABOM_01849,
group_5353,,hypothetical protein,JLGHJK_01845,IGABOM_01237,
group_5352,,Stage 0 sporulation A-like protein,JLGHJK_00580,IGABOM_03100,
group_5351,,hypothetical protein;1-acyl-sn-glycerol-3-phosphate acyltransferase,JLGHJK_02430;JLGHJK_02429,IGABOM_01722,
group_5350,,Exodeoxyribonuclease 7 large subunit;hypothetical protein,JLGHJK_01974;JLGHJK_01975,IGABOM_01330,
group_5349,,Ribonucleoside-diphosphate reductase;hypothetical protein,JLGHJK_01097;JLGHJK_01096,IGABOM_00573,
group_5348,,hypothetical protein;L-lactate oxidase,JLGHJK_00509,IGABOM_03021,
clpL,;clpL,hypothetical protein;ATP-dependent Clp protease ATP-binding subunit;ATP-dependent protease ClpL,JLGHJK_00506;JLGHJK_00507,IGABOM_03019,
group_5347,,hypothetical protein,JLGHJK_00036;JLGHJK_00037,IGABOM_02486,
group_5346,,hypothetical protein;Bacterial archaeo-eukaryotic release factor family 6 domain-containing protein,JLGHJK_00965;JLGHJK_00964,IGABOM_00332,
group_5345,,hypothetical protein;D-lactate dehydrogenase,JLGHJK_01299,IGABOM_00748,
group_5344,,hypothetical protein,JLGHJK_00304,IGABOM_02802,
group_5343,,hypothetical protein;RNA 2'-O ribose methyltransferase substrate binding family protein,JLGHJK_01932;JLGHJK_01931,IGABOM_01287,
group_5342,,hypothetical protein;Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,JLGHJK_00702;JLGHJK_00701,IGABOM_00069,
group_5341,,Zn-Finger Containing protein,JLGHJK_00359,IGABOM_02851,
group_5340,,hypothetical protein;Ribonuclease Z,JLGHJK_02523;JLGHJK_02524,IGABOM_01750,
